Title,"Card Url","Image Url",Price,Score,Stars
"LG 49LH604V TV#:49 Zoll",http://estoremedia.space/DataIT/product.php?id=2006622791,"./Category - TVs - Example store_files/61s4XzZa00L._SL1010_.jpg","$391,99",2,3
"LG 49UM7100PLB 49 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) Amazon exclusive#:49 Inch 2019 Model Single",http://estoremedia.space/DataIT/product.php?id=2006623401,"./Category - TVs - Example store_files/811hhwXpGSL._AC_UY218_ML3_.jpg","$361,48",926,4
"LG 65UH770V 65 inch Super Ultra HD 4K Smart TV webOS (2016 Model) - Silver#:65 inch",http://estoremedia.space/DataIT/product.php?id=2006623402,"./Category - TVs - Example store_files/41YR-7vimeL._SX450_.jpg","$1675,18",82,4
"LG 55UK6200PLA 55-Inch 4K UHD HDR Smart LED TV with Freeview Play (2018 Model) - Black#:55 Inch",http://estoremedia.space/DataIT/product.php?id=2006623403,"./Category - TVs - Example store_files/816EZ53GfQL._AC_UY218_ML3_.jpg","$681,15",182,4
"LG 49UH750V 49 inch Ultra HD 4K Smart TV webOS (2016 Model) - Grey#:49 inch",http://estoremedia.space/DataIT/product.php?id=2006623404,"./Category - TVs - Example store_files/514n+A7Xr7L._SX355_.jpg","$804,94",25,3
"TV LED LG 43UM7390PLC - 43&quot;/109CM - 4K UHD 3840X2160 IPS - 1600HZ PMI - HDR 10 PRO/HLG - DVB-T2/C/S2 - SMART TV - 3*HDMI - 2*USB - AUDIO 20W                                           [Energy Class A+]",http://estoremedia.space/DataIT/product.php?id=2006623405,"./Category - TVs - Example store_files/81I0oigENeL._AC_UY218_ML3_.jpg","$482,42",1,1
"LG 55UH770V 55 inch Super Ultra HD 4K Smart TV webOS (2016 Model) - Silver#:55 inch",http://estoremedia.space/DataIT/product.php?id=2006623406,"./Category - TVs - Example store_files/41YR-7vimeL._SX450_.jpg","$999,99",82,4
"LG 49UM7100PLB 49 Inch UHD 4K HDR Smart LED TV with Amazon Basic HDMI cable#:49 Inch 2019 Model TV + HDMI 2.0 Cable",http://estoremedia.space/DataIT/product.php?id=2006623407,"./Category - TVs - Example store_files/6107Jy+fE9L._AC_UY218_ML3_.jpg","$349,00",926,4
"LG 49UM7100PLB 49-Inch UHD 4K HDR Smart LED TV withEcho Dot (3rd Gen)#:49 Inch 2019 Model with Echo Dot Single",http://estoremedia.space/DataIT/product.php?id=2006623408,"./Category - TVs - Example store_files/51z62TntZnL._SL1000_.jpg","$411,47",930,4
"LG 65SM8500PLA 65-Inch UHD 4K HDR Smart NanoCell LED TV with Echo Dot (3rd Gen)#:65 Inch 2019 Model with Echo Dot",http://estoremedia.space/DataIT/product.php?id=2006623409,"./Category - TVs - Example store_files/61PdpGR7QsL._AC_UY218_ML3_.jpg","$984,79",184,4
"LG 55SM8500PLA 55-Inch UHD 4K HDR Smart NanoCell LED TV with Echo Dot (3rd Gen)#:55 Inch 2019 Model with Echo Dot",http://estoremedia.space/DataIT/product.php?id=2006623410,"./Category - TVs - Example store_files/61PdpGR7QsL._AC_UY218_ML3_.jpg","$728,99",206,4
"LG 75UK6500PLA 75-Inch UHD 4K HDR Smart LED TV with Freeview Play - Steel Silver/Black (2018 Model) with LG SK5 Soundbar#:75 Inch TV with Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623411,"./Category - TVs - Example store_files/51-1GnErdVL._AC_SL1001_.jpg","$2030,26",237,4
"LG 65UK6500PLA 65-Inch UHD 4K HDR Smart LED TV with Freeview Play - Steel Silver/Black (2018 Model) with LG SK5 Soundbar#:65 Inch TV with Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623412,"./Category - TVs - Example store_files/51L1NGm8zdL._AC_SL1001_.jpg","$1055,87",237,4
"LG 65SK8000PLB 65-Inch Super UHD 4K HDR Premium Smart LED TV with Freeview Play and LG SK5 Soundbar#:65 Inch TV with SK5 Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623413,"./Category - TVs - Example store_files/31FqhugSlTL._AC_SY355_.jpg","$1228,24",180,4
"LG 65UK6300PLB 65-Inch UHD 4K HDR Smart LED TV with Freeview Play - Black (2018 Model) with LG SK1 Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623414,"./Category - TVs - Example store_files/51Hm4nf3zaL._AC_UY218_ML3_.jpg","$1051,57",0,0
"LG 49UM7100PLB 49 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) and LG SL5Y Wireless Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623415,"./Category - TVs - Example store1_files/4131o74bcrL._AC_UY218_ML3_.jpg","$560,48",0,0
"LG 65UK6500PLA 65-Inch UHD 4K HDR Smart LED TV with Freeview Play - Steel Silver/Black (2018 Model) + Amazon High-Speed HDMI 2.0 cable",http://estoremedia.space/DataIT/product.php?id=2006623416,"./Category - TVs - Example store1_files/51GV-5arHBL._AC_UY218_ML3_.jpg","$784,56",0,0
"LG 65UK6300PLB 65-Inch UHD 4K HDR Smart LED TV with Freeview Play and LG SK5 Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623417,"./Category - TVs - Example store1_files/31jDFDVbtxL._AC_UY218_ML3_.jpg","$1260,78",0,0
"LG 55UM7100PLB 55 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) Amazon exclusive#:55 Inch 2019 Model Single",http://estoremedia.space/DataIT/product.php?id=2006623418,"./Category - TVs - Example store1_files/811hhwXpGSL._AC_UY218_ML3_.jpg","$426,98",967,4
"LG 43UM7100PLB 43 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) Amazon exclusive#:43 Inch 2019 Model Single",http://estoremedia.space/DataIT/product.php?id=2006623419,"./Category - TVs - Example store1_files/811hhwXpGSL._AC_UY218_ML3_.jpg","$329,00",930,4
"55SK9500PLA 55&quot; Smart Built in Wi-Fi UHD 2160P LCD TV with Freeview HD Black",http://estoremedia.space/DataIT/product.php?id=2006623420,"./Category - TVs - Example store1_files/71ZFm7VoXWL._AC_UY218_ML3_.jpg","$1437,32",4,3
"LG 55UM7100PLB 55 Inch UHD 4K HDR Smart LED TV with Amazon Basic HDMI cable#:55 Inch 2019 Model TV + HDMI 2.0 Cable",http://estoremedia.space/DataIT/product.php?id=2006623421,"./Category - TVs - Example store1_files/6107Jy+fE9L._AC_UY218_ML3_.jpg","$399,00",926,4
"LG 43UM7100PLB 43 Inch UHD 4K HDR Smart LED TV with Amazon Basic HDMI cable#:43 Inch 2019 Model TV + HDMI 2.0 Cable",http://estoremedia.space/DataIT/product.php?id=2006623422,"./Category - TVs - Example store1_files/6107Jy+fE9L._AC_UY218_ML3_.jpg","$303,49",926,4
"LG 43UM7100PLB 43-Inch UHD 4K HDR Smart LED TV with Echo Dot (3rd Gen)#:43 Inch 2019 Model with Echo Dot Single",http://estoremedia.space/DataIT/product.php?id=2006623423,"./Category - TVs - Example store1_files/51z62TntZnL._SL1000_.jpg","$378,99",976,4
"LG 55UM7100PLB 55-Inch UHD 4K HDR Smart LED TV with Echo Dot (3rd Gen)#:55 Inch 2019 Model with Echo Dot Single",http://estoremedia.space/DataIT/product.php?id=2006623424,"./Category - TVs - Example store1_files/51z62TntZnL._AC_SL1000_.jpg","$476,97",930,4
"LG 43UM7100PLB 43 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) and LG SL5Y Wireless Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623425,"./Category - TVs - Example store1_files/412rt3sBCmL._AC_UY218_ML3_.jpg","$498,00",0,0
"LG 55UM7100PLB 55 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) and LG SL5Y Wireless Soundbar",http://estoremedia.space/DataIT/product.php?id=2006623426,"./Category - TVs - Example store1_files/412rt3sBCmL._AC_UY218_ML3_.jpg","$625,99",0,0
"Samsung 75-inch RU7100 HDR Smart 4K TV                                           [Energy Class A+]",http://estoremedia.space/DataIT/product.php?id=2006624476,"./Category - TVs - Example store1_files/61zep0GuVOL._AC_UY218_ML3_.jpg","$1109,97",27,4
"Samsung UE32N5000 32-Inch Full HD TV - Black (2018 Model) [Energy Class A]#:Full HD TV",http://estoremedia.space/DataIT/product.php?id=2006624477,"./Category - TVs - Example store1_files/518kfvUaxIL._AC_UY218_ML3_.jpg","$295,64",131,4
"Samsung UE65NU7400 65-Inch Dynamic Crystal Colour 4K Ultra HD Certified HDR Smart TV - Charcoal Black (2018 Model) [Energy Class A+]#:65 Inch TV Only",http://estoremedia.space/DataIT/product.php?id=2006624478,"./Category - TVs - Example store1_files/A1L83fMMwGL._SL1500_.jpg","$1334,65",566,4
